24 time: 2020-10-17 22:49, wait: 4
30 time: 2020-10-17 22:50, wait: 2
25 time: 2020-10-17 22:50, wait: 3
26 time: 2020-10-17 22:51, wait: 2
25 time: 2020-10-17 22:52, wait: 2
22 time: 2020-10-17 22:52, wait: 3
25 time: 2020-10-17 22:53, wait: 2
24 time: 2020-10-17 22:54, wait: 2
23 time: 2020-10-17 22:56, wait: 1
22 time: 2020-10-17 22:56, wait: 1
24 time: 2020-10-17 22:57, wait: 1
24 time: 2020-10-17 22:58, wait: 0
19 time: 2020-10-17 22:58, wait: 1
16 time: 2020-10-17 22:59, wait: 2
20 time: 2020-10-17 23:02, wait: 1
20 time: 2020-10-17 23:03, wait: 0
15 time: 2020-10-17 23:03, wait: 1
14 time: 2020-10-17 23:04, wait: 1
19 time: 2020-10-17 23:04, wait: 0
16 time: 2020-10-17 23:05, wait: 0
13 time: 2020-10-17 23:06, wait: 1
17 time: 2020-10-17 23:06, wait: 0
18 time: 2020-10-17 23:07, wait: 0
18 time: 2020-10-17 23:07, wait: 1
19 time: 2020-10-17 23:08, wait: 1
19 time: 2020-10-17 23:08, wait: 1
22 time: 2020-10-17 23:09, wait: 1
21 time: 2020-10-17 23:10, wait: 1
23 time: 2020-10-17 23:11, wait: 0
23 time: 2020-10-17 23:11, wait: 0
23 time: 2020-10-17 23:12, wait: 0
18 time: 2020-10-17 23:13, wait: 0
13 time: 2020-10-17 23:13, wait: 1
11 time: 2020-10-17 23:14, wait: 1
10 time: 2020-10-17 23:14, wait: 1
17 time: 2020-10-17 23:15, wait: 0
12 time: 2020-10-17 23:15, wait: 0
16 time: 2020-10-17 23:16, wait: 0
15 time: 2020-10-17 23:17, wait: 0
15 time: 2020-10-17 23:18, wait: 0
18 time: 2020-10-17 23:18, wait: 0
18 time: 2020-10-17 23:19, wait: 0
14 time: 2020-10-17 23:20, wait: 0
18 time: 2020-10-17 23:20, wait: 0
12 time: 2020-10-17 23:21, wait: 0
14 time: 2020-10-17 23:21, wait: 0
15 time: 2020-10-17 23:22, wait: 0
15 time: 2020-10-17 23:23, wait: 0
15 time: 2020-10-17 23:23, wait: 0
14 time: 2020-10-17 23:24, wait: 0
13 time: 2020-10-17 23:24, wait: 0
14 time: 2020-10-17 23:25, wait: 0
16 time: 2020-10-17 23:25, wait: 0
13 time: 2020-10-17 23:26, wait: 0
15 time: 2020-10-17 23:27, wait: 0
15 time: 2020-10-17 23:27, wait: 0
18 time: 2020-10-17 23:28, wait: 0
16 time: 2020-10-17 23:28, wait: 0
13 time: 2020-10-17 23:29, wait: 0
15 time: 2020-10-17 23:30, wait: 0
15 time: 2020-10-17 23:30, wait: 0
12 time: 2020-10-17 23:31, wait: 0
11 time: 2020-10-17 23:31, wait: 0
13 time: 2020-10-17 23:32, wait: 0
12 time: 2020-10-17 23:32, wait: 0
12 time: 2020-10-17 23:33, wait: 0
14 time: 2020-10-17 23:34, wait: 0
11 time: 2020-10-17 23:35, wait: 0
11 time: 2020-10-17 23:35, wait: 0
14 time: 2020-10-17 23:36, wait: 0
12 time: 2020-10-17 23:37, wait: 0
13 time: 2020-10-17 23:37, wait: 0
15 time: 2020-10-17 23:38, wait: 0
17 time: 2020-10-17 23:38, wait: 0
15 time: 2020-10-17 23:39, wait: 0
16 time: 2020-10-17 23:40, wait: 0
14 time: 2020-10-17 23:40, wait: 0
17 time: 2020-10-17 23:41, wait: 0
17 time: 2020-10-17 23:42, wait: 0
17 time: 2020-10-17 23:42, wait: 0
16 time: 2020-10-17 23:43, wait: 0
11 time: 2020-10-17 23:44, wait: 0
11 time: 2020-10-17 23:44, wait: 0
13 time: 2020-10-17 23:45, wait: 0
11 time: 2020-10-17 23:45, wait: 0
3 time: 2020-10-17 23:47, wait: 0
8 time: 2020-10-17 23:47, wait: 0
9 time: 2020-10-17 23:48, wait: 0
9 time: 2020-10-17 23:48, wait: 0
6 time: 2020-10-17 23:49, wait: 0
7 time: 2020-10-17 23:49, wait: 0
9 time: 2020-10-17 23:50, wait: 0
8 time: 2020-10-17 23:51, wait: 0
6 time: 2020-10-17 23:51, wait: 0
5 time: 2020-10-17 23:52, wait: 0
5 time: 2020-10-17 23:52, wait: 0
5 time: 2020-10-17 23:53, wait: 0
7 time: 2020-10-17 23:54, wait: 0
6 time: 2020-10-17 23:54, wait: 0
6 time: 2020-10-17 23:55, wait: 0
10 time: 2020-10-17 23:55, wait: 0
3 time: 2020-10-17 23:57, wait: 0
7 time: 2020-10-17 23:57, wait: 0
8 time: 2020-10-17 23:58, wait: 0
3 time: 2020-10-18 00:01, wait: 0
5 time: 2020-10-18 00:02, wait: 0
6 time: 2020-10-18 00:02, wait: 0
4 time: 2020-10-18 00:03, wait: 0
3 time: 2020-10-18 00:04, wait: 0
3 time: 2020-10-18 00:04, wait: 0
4 time: 2020-10-18 00:05, wait: 0
1 time: 2020-10-18 00:06, wait: 0
6 time: 2020-10-18 00:06, wait: 0
5 time: 2020-10-18 00:07, wait: 0
4 time: 2020-10-18 00:08, wait: 0
6 time: 2020-10-18 00:08, wait: 0
4 time: 2020-10-18 00:09, wait: 0
7 time: 2020-10-18 00:10, wait: 0
